name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Home Psychologist,Mental health clinic,"Home Psychologist, Perumahan Dosen Kampus Baru Blok R no. 7, Kota Kendari, Sulawesi Tenggara 93231, Indonesia",https://www.blogger.com/blog/posts/4498838991161743247,,4.5,4,122.528409,-4.0129032
PSIKOMORFOSA Lembaga Layanan Psikologi,Psychologist,"PSIKOMORFOSA Lembaga Layanan Psikologi, Jalan Kompleks Agraria Blok Q2 A, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",,+62 822-9231-8587,4.8,31,119.4480497,-5.1753363
LEMBAGA PSIKOLOGI EXCELLENT,Psychologist,"LEMBAGA PSIKOLOGI EXCELLENT, Jalan A.P Pettarani Kompleks Ruko Bisnis Centre 3, Blk. C - D No.15, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222, Indonesia",,+62 411 433666,4.8,19,119.438163,-5.1491414
Praktek Psikiater dr. Lili Tunggal Sp.KJ,Psychiatrist,"Praktek Psikiater dr. Lili Tunggal Sp.KJ, Jl. DR. Ratulangi No.180, Parang, Kec. Mamajang, Kota Makassar, Sulawesi Selatan, Indonesia",,+62 852-4444-2630,5,106,119.417972,-5.1632359
Karracare Layanan Psikologi,Psychotherapist,"Karracare Layanan Psikologi, Jl. Dr. Wahidin No.143 C, Lamangga, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93713, Indonesia",https://www.instagram.com/layananpsikologi.karracare/profilecard/?igsh=bjM4anl1aW5jb2lx,+62 822-9025-6730,5,84,122.5999402,-5.4700886
Praktek Psikolog,Store,"Praktek Psikolog, Jl. Monumen Emmy Saelan No.5, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",,+62 411 841189,5,4,119.4398944,-5.1766471
Klinik Psikologi Wangi Embun,Mental health clinic,"3V7R+MPX Klinik Psikologi Wangi Embun, Kalukubula, Sigi Biromaru, Sigi Regency, Central Sulawesi, Indonesia",,+62 821-9688-3080,5,5,119.8918594,-0.9357625
Praktik Psikolog Fithrah Fadhilah Hasbi,Psychologist,"2H35+9FP Praktik Psikolog Fithrah Fadhilah Hasbi, Jl. Wua Eha, Anggoeya, Kec. Poasia, Kota Kendari, Sulawesi Tenggara 93232, Indonesia",,,,,122.5587046,-3.9965341
Tes Stifin Makassar Gowa Samata (potensi bakat karakter GENETIK ),Psychologist,"Tes Stifin Makassar Gowa Samata (potensi bakat karakter GENETIK ), perum bumi zarinda, blok AO no.19, Samata, Kec. Pattallassang, Kabupaten Gowa, Sulawesi Selatan 92118, Indonesia",,+62 882-4208-5807,4.2,5,119.5205601,-5.2052924
Lembaga Psikologi Progres,Psychologist,"RCJR+CJW Lembaga Psikologi Progres, Jl. Mapala Raya, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",https://www.instagram.com/psikologiprogres/,+62 811-4111-812,5,13,119.4415687,-5.1688945
Laboratorium Psikologi UHO,College,"XGVC+4CP Laboratorium Psikologi UHO, Kambu, Kec. Kambu, Kota Kendari, Sulawesi Tenggara 93561, Indonesia",,,5,13,122.5210685,-4.0071642
Layanan Psikologi Bermakna,Psychologist,"Layanan Psikologi Bermakna, Jl. Delta Mas II Blok A4, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233, Indonesia",http://wa.me/089510696112,+62 895-1069-69112,5,21,119.4623273,-5.1611861
"Biro Konsultasi & Pelayanan Psikologis ""HUMANITY""",Psychologist,"Biro Konsultasi & Pelayanan Psikologis ""HUMANITY"", Jl. Dr. Wahidin, Besusu Bar., Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111, Indonesia",,+62 852-3200-9871,5,1,119.8665449,-0.8968889
Daya Potensia Indonesia,Psychologist,"Daya Potensia Indonesia, Jl. Raya Pendidikan No.9 Blok G1, Tidung, Rappocini, Makassar City, South Sulawesi 90222, Indonesia",,+62 811-430-253,5,16,119.4408763,-5.1710717
Biro Psikologi Bonafide,Psychologist,"Biro Psikologi Bonafide, Jl. Poros Singki'-Kadundung Km. 1.2, Tampak, Saloso, Laang Tanduk, Rantepao, 91835, Indonesia",,+62 877-7456-1000,,,119.885092,-2.9787972
Terapi Psikologi ABK,Psychotherapist,"Terapi Psikologi ABK, Jl. Ahmad Mustin No.99, Laloeha, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561, Indonesia",,,,,121.6105189,-4.066994
