name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude,provinsi
LETICIA WELLNESS CENTER 2 - Praktik hipnoterapi dan konseling psikologi ( LWC-2 ),Mental health clinic,"LETICIA WELLNESS CENTER 2 - Praktik hipnoterapi dan konseling psikologi ( LWC-2 ), sebelah resto ayam JFC, Jl. Raya Kesambi No.9, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",tidak diketahui,+62 819-9049-9990,5,14.0,"115,1722731","-8,6528475",Bali
"Pradnyagama, Pusat Layanan Psikologi Bali",Psychologist,"Pradnyagama, Pusat Layanan Psikologi Bali, Jl. Tukad Yeh Aya No.183, Renon, Denpasar Selatan, Denpasar City, Bali 80226, Indonesia",https://psikologibali.com/,+62 857-3923-4234,"4,7",122.0,"115,240499","-8,676963",Bali
"Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ",Psychiatrist,"Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ, Jl. Jend. Sudirman No.1, Dauh Puri Klod, Denpasar Barat, Denpasar City, Bali 80234, Indonesia",http://psikiaterbali.com/,+62 812-3900-8080,"4,7",127.0,"115,2178344","-8,6738966",Bali
Praktek Psikolog Galang Dharma dan Sri Wiraswati,Psychologist,"Praktek Psikolog Galang Dharma dan Sri Wiraswati, Jl. Dewi Madri VIII No.5, Panjer, Denpasar Selatan, Denpasar City, Bali 80235, Indonesia",http://psikologrenon.wordpress.com/,+62 897-0832-042,5,23.0,"115,2358463","-8,6636551",Bali
Layanan Psikolog Bintang Praba Dewi,Psychologist,"Layanan Psikolog Bintang Praba Dewi, Jl. Raya Padang Luwih, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://linktr.ee/BintangPrabaDewi,+62 817-9700-162,5,99.0,"115,174891","-8,6366251",Bali
Bali Psikologi,Mental health clinic,"Bali Psikologi, Jl. Gunung Talang No.70, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://balipsikologi.id/,+62 896-8888-2023,"4,9",69.0,"115,1884351","-8,6751468",Bali
Tes STIFIn Brain Denpasar - Bali,Psychologist,"Tes STIFIn Brain Denpasar - Bali, Jl. Tk. Pancoran I, Panjer, Denpasar Selatan, Denpasar City, Bali 80225, Indonesia",https://stifinbrain.com/sukma,+62 812-3801-299,5,67.0,"115,2275396","-8,6851418",Bali
Pradnyagama Jimbaran,Mental health clinic,"Pradnyagama Jimbaran, Jl. Garuda No.5, Ungasan, South Kuta, Badung Regency, Bali 80361, Indonesia",https://psikologibali.com/,+62 815-2948-8883,5,50.0,"115,1693977","-8,8174889",Bali
Layanan Konseling Psikologi Titut Esti Koeswardani | Bali Empower,Psychologist,"Layanan Konseling Psikologi Titut Esti Koeswardani | Bali Empower, Apotik INDOBAT, Jl. Tukad Yeh Aya No.100, Renon, Denpasar Selatan, Denpasar City, Bali 80234, Indonesia",https://baliempower.com/,+62 877-7743-0348,"4,9",14.0,"115,2360252","-8,6772029",Bali
Praktek Psikolog Evitasari dan Weni Kumala,Psychologist,"Praktek Psikolog Evitasari dan Weni Kumala, Jl. Pulau Menjangan No.61x, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",https://yubi.id/ppmevitaweni,+62 821-4464-9065,5,12.0,"115,2105662","-8,6818846",Bali
"Praktek Psikolog Ilham Dewi S. Psi, Psikolog",Psychologist,"Praktek Psikolog Ilham Dewi S. Psi, Psikolog, Jl. Trijata No.38, Dangin Puri Kangin, Denpasar Utara, Denpasar City, Bali 80233, Indonesia",tidak diketahui,+62 812-3607-479,5,1.0,"115,2242229","-8,6453929",Bali
"Praktik Psikolog Titut Esti Koeswardani, M.Psi., Psikolog",Psychologist,"Praktik Psikolog Titut Esti Koeswardani, M.Psi., Psikolog, Perumahan Graha Karangasem Residence Blok B1 Jl. Veteran Bypass Jalur 11, Padang Kerta, Kelod, Kabupaten Karangasem, Bali 80811, Indonesia",https://baliempower.travabali.com/,+62 895-3859-32921,5,7.0,"115,5882653","-8,4438674",Bali
Relive Psychological Service Center,Psychologist,"Relive Psychological Service Center, Jl. Nuansa Utama No.6x, Jimbaran, South Kuta, Badung Regency, Bali 80361, Indonesia",tidak diketahui,+62 878-4090-1703,5,101.0,"115,1851802","-8,7999975",Bali
Psiko Udayana Learning Center,Psychologist,"Psiko Udayana Learning Center, Jl. Veteran No.5, Dangin Puri Kauh, Denpasar Utara, Denpasar City, Bali 80232, Indonesia",tidak diketahui,+62 361 244957,5,7.0,"115,2168799","-8,6540116",Bali
Denpasar Mental Health Centre (DMHC) and Wellness,Psychologist,"Denpasar Mental Health Centre (DMHC) and Wellness, Jl. Padang Gajah Jalan Utara RS Balimed No.8, Padangsambian, Denpasar Barat, Denpasar City, Bali 80117, Indonesia",http://www.denpasarmentalhealthcentre.my.id/,+62 896-3820-7300,"4,8",196.0,"115,1911583","-8,6558351",Bali
"Biro Psikologi, Riset & Pengembangan SDM, AGET Development",Psychologist,"Biro Psikologi, Riset & Pengembangan SDM, AGET Development, Jl. Kepundung No.12, Dangin Puri, East Denpasar, Denpasar City, Bali 80232, Indonesia",http://www.agetdevelopment.com/,+62 822-1012-6118,5,131.0,"115,2203603","-8,655076",Bali
Sense Hypno Bali - Layanan Psikologi & Hipnoterapi,Psychologist,"Sense Hypno Bali - Layanan Psikologi & Hipnoterapi, Gg. C No.5, Dangin Puri, East Denpasar, Denpasar City, Bali 80232, Indonesia",http://sensehypno.com/,+62 812-3855-333,5,10.0,"115,2196699","-8,6547949",Bali
PRADNYAGAMA GIANYAR,Psychologist,"PRADNYAGAMA GIANYAR, Jl. Bay Pass Dharma Giri, Desa Bitera, Sebelah Utara Pengadilan Agama, Gianyar, Kec. Gianyar, Bali 80515, Indonesia",https://bit.ly/pradnyagama-gianyar,+62 819-3662-5110,"4,8",27.0,"115,3145518","-8,5466305",Bali
Ni Ketut Jeni Adhi Psikolog (Tema Insani),Psychologist,"Ni Ketut Jeni Adhi Psikolog (Tema Insani), Gg. III No.16, Delod Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia",tidak diketahui,+62 812-3961-4056,"4,3",7.0,"115,1327132","-8,5375936",Bali
G KUSUMA,Psychologist,"G KUSUMA, Kerobokan Kaja, Jl. Gunung Sanghyang No.8K blok 8, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",tidak diketahui,tidak diketahui,"3,3",4.0,"115,1812203","-8,6477506",Bali
Pradnyagama,Psychologist,"Pradnyagama, Jl. Gatot Subroto VI B No.9, Dauh Puri Kaja, Denpasar Utara, Denpasar City, Bali 80111, Indonesia",https://psikologibali.com/,+62 813-3918-7058,5,8.0,"115,2151997","-8,6371478",Bali
Biro Pisikologi Dasa Bratha,Psychologist,"Biro Pisikologi Dasa Bratha, Perum Pratama, Jl. Gatot Subroto I No.58B, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234, Indonesia",tidak diketahui,+62 361 8450187,"4,5",2.0,"115,2217944","-8,6298914",Bali
Ankara - Pusat Layanan Psikologi,Psychologist,"Ankara - Pusat Layanan Psikologi, Gg. 18x No.6, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80225, Kota Denpasar, Bali 80235, Indonesia",tidak diketahui,+62 853-3789-8283,5,14.0,"115,2219677","-8,6843938",Bali
Praktek Psikolog Yuli Pratiwi (p.i consulting),Psychologist,"Praktek Psikolog Yuli Pratiwi (p.i consulting), Jl. Pura Demak Gg. Air Mancur No.101, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://linkr.bio/zlr29m,+62 857-3851-0688,5,5.0,"115,1967335","-8,6731688",Bali
Griya Sehat Cempaka Karangasem,Psychologist,"HH5V+VMP Griya Sehat Cempaka Karangasem, Jl. Banteng, Padang Kerta, Kec. Karangasem, Kabupaten Karangasem, Bali 80811, Indonesia",https://www.instagram.com/griyasehatcempaka_karangasem?igsh=cmlqMWM0Mmp0cTMw,+62 895-3859-32921,5,2.0,"115,5942043","-8,440286",Bali
"Praktek dr. Made Sugiharta Jasa SpKJ (K), Psikiater/Psychiatrist",Mental health clinic,"Praktek dr. Made Sugiharta Jasa SpKJ (K), Psikiater/Psychiatrist, Gg. Merta Gangga No.6, Pemogan, Denpasar Selatan, Denpasar City, Bali 80113, Indonesia",tidak diketahui,tidak diketahui,5,15.0,"115,1966811","-8,6902781",Bali
"dr. I Gde Yudhi Kurniawan, SpKJ",Psychiatrist,"dr. I Gde Yudhi Kurniawan, SpKJ, Jl. P.B. Sudirman No.1a, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",https://linktr.ee/dokteryudhi,+62 851-1750-0808,"4,8",26.0,"115,2177276","-8,6738004",Bali
Biro Layanan Psikologi Umah Lentera,Psychologist,"Biro Layanan Psikologi Umah Lentera, Jl. Cenigan Sari No.30, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80222, Indonesia",tidak diketahui,+62 812-3714-7370,5,1.0,"115,2217492","-8,6990096",Bali
Bali Mental Health Clinic,Mental health clinic,"Bali Mental Health Clinic, Jl. Imam Bonjol No.125, Pemecutan Klod, Denpasar Barat, Denpasar City, Bali 80112, Indonesia",http://balimentalhealthclinic.com/,+62 813-7000-0305,"4,7",39.0,"115,2064686","-8,667161",Bali
"dr. Putu Belly Sutrisna, M.Biomed., SpKJ., S.Kom, PhD",Psychiatrist,"dr. Putu Belly Sutrisna, M.Biomed., SpKJ., S.Kom, PhD, Jl. Padang Gajah No.8, Padangsambian, Denpasar Barat, Denpasar City, Bali 80117, Indonesia",http://www.denpasarmentalhealthcentre.my.id/,tidak diketahui,"4,8",15.0,"115,1917694","-8,6552422",Bali
Pradnyagama Sempidi,Psychologist,"Pradnyagama Sempidi, Jl. Raya Sempidi Br. Umegunung Sempidi No.23, Sempidi, Kec. Mengwi, Kabupaten Badung, Bali 80117, Indonesia",http://psikologibali.com/,+62 853-3842-0978,"4,6",9.0,"115,1812138","-8,6088452",Bali
Preema Psikologi,Psychologist,"Preema Psikologi, Jl. Brigjen Ngurah Rai No.18, Kawan, Kec. Bangli, Kabupaten Bangli, Bali 80614, Indonesia",tidak diketahui,+62 823-4147-9469,5,2.0,"115,3526396","-8,4593596",Bali
Bali Counseling Room,Mental health service,"Bali Counseling Room, Jl. Kartini No.105, Dauh Puri Kaja, Denpasar Utara, Denpasar City, Bali 80231, Indonesia",tidak diketahui,+62 877-7456-8080,"4,8",26.0,"115,2131647","-8,6508442",Bali
Himpunan Psikologi Indonesia,Psychologist,"86G9+WG6 Himpunan Psikologi Indonesia, Sekretariat Wilayah : Program Studi Psikologi, Fakultas Kedokteran, Universitas Udayana, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80234, Indonesia",tidak diketahui,+62 361 262275,"4,5",2.0,"115,2187727","-8,6727106",Bali
"Psikolog Ilham Dewi Sukamembah, S. Psi.",Psychologist,"F46M+7CW Psikolog Ilham Dewi Sukamembah, S. Psi., Jl. Ks. Tubun, Delod Peken, Tabanan, Tabanan Regency, Bali 82121, Indonesia",tidak diketahui,tidak diketahui,3,4.0,"115,1335825","-8,5392718",Bali
Pradnyagama Singaraja,Mental health clinic,"Pradnyagama Singaraja, Jl. Toya Anakan 2, Perum Graha Asri LC 8 Timur, Blok B No 15, Banyuasri, Kec. Buleleng, Kabupaten Buleleng, Bali 55281, Indonesia",http://psikologibali.com/,+62 812-3679-4283,"4,8",12.0,"115,0767472","-8,123716",Bali
Kantor Layanan Psikologi,Psychologist,"Kantor Layanan Psikologi, Jl. Gunung Sanghyang No.8, Kerobokan Kaja, Kuta Utara, Badung Regency, Bali 80118, Indonesia",tidak diketahui,tidak diketahui,3,5.0,"115,181224","-8,6477595",Bali
"Dr.Putu Dwi Malaika, Sp.KJ",Psychiatrist,"V3RR+X8J Dr.Putu Dwi Malaika, Sp.KJ, Kp. Kajanan, Kec. Buleleng, Kabupaten Buleleng, Bali 81113, Indonesia",tidak diketahui,+62 362 551421,1,1.0,"115,090707","-8,107393",Bali
"Hipnoterapi Bali, Tomy Hipnoterapi",Mental health clinic,"Hipnoterapi Bali, Tomy Hipnoterapi, Hipnoterapi Bali, Hipnoterapi Denpasar, Jl. Tukad Tegal Wangi No.10, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80225, Indonesia",https://www.tomywahyudi.com/,+62 817-9730-891,"4,7",19.0,"115,2182447","-8,6889669",Bali
Tes psilologi SIM,Psychologist,"V3WW+Q56 Tes psilologi SIM, Kp. Baru, Kec. Buleleng, Kabupaten Buleleng, Bali 81114, Indonesia",tidak diketahui,tidak diketahui,2,5.0,"115,0953809","-8,1030869",Bali
(Praktik Psikolog Denpasar),Psychologist,"(Praktik Psikolog Denpasar), Jl. Tukad Musi No.17A, Renon, Denpasar Barat, Denpasar City, Bali 80226, Indonesia",tidak diketahui,tidak diketahui,5,10.0,"115,2302677","-8,6759424",Bali
LPT Solusi Banten,Psychologist,"LPT Solusi Banten, Perum Taman Mutiara Indah Blok B6 No. 17, RT.001/RW.016, Kaligandu, Kec. Serang, Kota Serang, Banten 42116, Indonesia",https://lptsolusibanten.com/,+62 853-1148-7755,5,22.0,"106,1742371","-6,1001043",Banten
Yayasan Praktek Psikolog Indonesia Cabang Tangsel,Psychotherapist,"Yayasan Praktek Psikolog Indonesia Cabang Tangsel, Jl. Utama Puri Bintaro Hijau Kel No.6 Blok C1, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15424, Indonesia",http://www.praktekpsikolog.com/,+62 21 27563512,"4,8",78.0,"106,7084556","-6,2552112",Banten
Psikolog Ririn (B15/24),Psychologist,"Psikolog Ririn (B15/24), Perumahan Banten Indah Permai Blok B15/24, Unyur, Kota Serang, Banten 42111, Indonesia",tidak diketahui,+62 877-8235-4678,"4,9",25.0,"106,1693641","-6,0940512",Banten
Caring & Hope Psikologi,Psychologist,"Caring & Hope Psikologi, Komplek Ruko Graha Ona, Jl. Siliwangi Jl. Pasir Ona No.6 Blok B, East Rangkasbitung, Rangkasbitung, Lebak Regency, Banten 42311, Indonesia",tidak diketahui,+62 812-1974-4255,5,3.0,"106,2619368","-6,3720347",Banten
Melly Suwarna Play Therapy and Depth Psychotherapy,Psychologist,"Melly Suwarna Play Therapy and Depth Psychotherapy, Latinos Business District C9/16, BSD City, Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia",http://www.mellysuwarna.com/,+62 859-2170-2407,5,17.0,"106,6798931","-6,3203135",Banten
Yayasan Praktek Psikolog Indonesia,Psychologist,"Yayasan Praktek Psikolog Indonesia, Gedung Bintaro Bussiness Centre, Jl. RC. Veteran Raya No.1-I, RT.1/RW.3, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia",http://www.praktekpsikolog.com/,+62 21 7362639,"4,7",182.0,"106,764778","-6,272109",Banten
Nous Consulting Indonesia (Konsultan Psikologi Tangerang),Psychologist,"Nous Consulting Indonesia (Konsultan Psikologi Tangerang), Metropolis Town Square Ruko GM7 No.12, Jl. Hartono Raya, RT.003/RW.006, Klp. Indah, Kec. Tangerang, Kota Tangerang, Banten 15118, Indonesia",http://www.nous-id.com/,+62 815-1642-909,5,6.0,"106,6361998","-6,1972863",Banten
Five Psikologi | Biro Konsultasi Psikologi Tangerang Selatan,Psychologist,"Five Psikologi | Biro Konsultasi Psikologi Tangerang Selatan, Jl. Lurah Disah Kholam Residence No.1, Pisangan Timur, Ciputat Timur, South Tangerang City, Banten 15412, Indonesia",https://fivepsikologi.com/,+62 819-0814-3555,5,29.0,"106,7535352","-6,321643",Banten
Psikolog & Terapi Fideya,Psychologist,"Psikolog & Terapi Fideya, Blok B3.19A Jalan Kalimantan, Kompleks Jl. Komp. Villa Bintaro Indah, Jombang, Kec. Ciputat, Kota Tangerang Selatan, Banten 15414, Indonesia",http://www.fideya.my.id/,+62 819-0896-0073,5,32.0,"106,7039734","-6,2940484",Banten
Smart Mind Center Consulting Alam Sutera,Psychologist,"Smart Mind Center Consulting Alam Sutera, Jl. Alam Sutera Town Center, Jl. Alam Sutera Boulevard No.35 Blok C10, Pakulonan, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15325, Indonesia",http://www.smartmindcenterconsulting.com/,+62 877-8165-8181,"4,9",76.0,"106,6539153","-6,242621",Banten
Psikolog Industri dan Organisasi (Konsultan MSDM / HRD) BQND Consulting,Psychologist,"Psikolog Industri dan Organisasi (Konsultan MSDM / HRD) BQND Consulting, Permata Tangerang, Blk. FA, Gelam Jaya, Pasar Kemis, Tangerang Regency, Banten 15560, Indonesia",https://sites.google.com/view/pthumanpersonaindonesia/,+62 895-2777-8999,5,31.0,"106,5729771","-6,1616063",Banten
BIRO KONSULTASI PSIKOLOGI PESONA,Psychologist,"BIRO KONSULTASI PSIKOLOGI PESONA, Sindangsari, Kec. Ps. Kemis, Kabupaten Tangerang, Banten 15560, Indonesia",tidak diketahui,+62 813-8252-1938,5,7.0,"106,5366078","-6,1443483",Banten
Kayross Psikologi,Psychologist,"Kayross Psikologi, Alam Sutera, Cluster Harmoni, Jl. Sutera Harmoni Utama No.15, Pd. Jagung, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15326, Indonesia",http://www.kayrossconsulting.com/,+62 21 5398931,"4,9",149.0,"106,6598708","-6,2543513",Banten
Yayasan Praktek Psikolog Indonesia Cabang Ciledug-Pondok Aren,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Ciledug-Pondok Aren, Blok B7 No.18, Jl. Utama Puri Bintaro Hijau Jl. Arjuna 4, Pd. Aren, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224, Indonesia",http://www.praktekpsikolog.com/,+62 812-1249-3404,5,2.0,"106,7093437","-6,2559788",Banten
Grahita Indonesia Serang,Psychologist,"Grahita Indonesia Serang, Jl. Grand Sutera Serang No.39 Blok A4, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124, Indonesia",http://grahita.org/,+62 877-7149-8115,"4,3",7.0,"106,2046068","-6,1108353",Banten
Salvia Biro Psikologi & Therapy Center,Psychologist,"Salvia Biro Psikologi & Therapy Center, Jl. Salvia 2 No.52 Blok UA, Rw. Buntu, Kec. Serpong, Kota Tangerang Selatan, Banten 15318, Indonesia",https://www.anakpelangicenter.com/,+62 812-8875-0162,5,29.0,"106,6794407","-6,3014148",Banten
Grahita Indonesia Kabupaten Tangerang,Psychologist,"Grahita Indonesia Kabupaten Tangerang, Jl. Mandala Raya No 20. Perum Pondok Dewata, Munjul, Kec. Tigaraksa, Kabupaten Tangerang, Banten 15730, Indonesia",https://grahitakbtangerang.com/,+62 877-7177-7056,5,3.0,"106,4620257","-6,279367",Banten
NIDO - Development Center & Psychology Services (Griya Loka),Psychologist,"NIDO - Development Center & Psychology Services (Griya Loka), Jalan Suplir Blok F1 No.20, RT04, RW.02, Lengkong Gudang Tim., Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia",https://www.nidopsikologi.com/,+62 898-9174-422,"4,8",16.0,"106,6796746","-6,299596",Banten
Biro Psikologi Esensia Psychology Consultant,Psychologist,"Biro Psikologi Esensia Psychology Consultant, Jl. Bukit Baja Griya Komplek BBS 3 Blok B3 No.1A, Ciwaduk, Kec. Cilegon, Kota Cilegon, Banten 42415, Indonesia",tidak diketahui,+62 821-3810-5551,5,41.0,"106,0433658","-6,0283798",Banten
Yayasan Keluarga Biro Konsultasi Psikologi Nuansa,Psychologist,"RJ77+764 Yayasan Keluarga Biro Konsultasi Psikologi Nuansa, Jl. Proklamasi, RT.004/RW.009, Cimone, Kec. Karawaci, Kota Tangerang, Banten 15114, Indonesia",https://nuansaconsulting.com/,+62 812-8453-550,5,3.0,"106,6130864","-6,1868714",Banten
Siti Bahiyah Psikolog Klinis,Psychologist,"Siti Bahiyah Psikolog Klinis, Jl. H. Rain I No.96, RT.003/RW.005, Ketapang, Cipondoh, Tangerang City, Banten 15147, Indonesia",https://psikologbahiyah.carrd.co/,+62 821-1154-7973,5,17.0,"106,6966746","-6,183429",Banten
Kinderhütte,Psychologist,"Kinderhütte, Serpong Garden 1, Green Park No.C08/09, Kec. Cisauk, Kabupaten Tangerang, Banten 15341, Indonesia",https://kinderhuette.com/,+62 812-1111-6907,"4,8",24.0,"106,6381197","-6,336723",Banten
Cahaya Psikologi Indonesia,Psychologist,"Cahaya Psikologi Indonesia, Jl. Poksay No.A5 No.2, East Pamulang, Pamulang, South Tangerang City, Banten 15417, Indonesia",tidak diketahui,+62 822-9890-0600,"4,4",7.0,"106,7478118","-6,3422191",Banten
Lingkar Psikologi (Konseling Corner),Mental health service,"Lingkar Psikologi (Konseling Corner), Jl. BSD Raya Utama, Pagedangan, Tangerang Regency, Banten 15345, Indonesia",https://instagram.com/psycircle.id?igshid=MzRlODBiNWFlZA==,+62 895-0417-3418,"4,5",8.0,"106,6428081","-6,3045312",Banten
Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional,Psychologist,"Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional, IDX Tower 1, Jl. Jenderal Sudirman No.304 Level 3, Senayan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia",https://www.bicarakan.id/,+62 819-1000-9224,"4,8",152.0,"106,7999714","-6,2285654",Banten
Ohana Space - Psychology Space,Psychologist,"Ohana Space - Psychology Space, Green Lake City, Rukan CBD Blok M Nomor 18A, RT.10/RW.11, Ketapang, Kec. Cipondoh, Kota Tangerang, Banten 15147, Indonesia",https://ohanaspace.id/,+62 21 31112920,"4,9",35.0,"106,698302","-6,1839033",Banten
Grahita Indonesia Produksi,Psychologist,"Grahita Indonesia Produksi, Jl. Bugel Mas Indah No.02 blok D9, RT.004/RW.006, Bugel, Kec. Karawaci, Kota Tangerang, Banten 15114, Indonesia",https://grahita.org/tentang-kami/,+62 21 5517190,5,6.0,"106,6064595","-6,1763348",Banten
FATHAN COUNSELING,Psychopedagogy clinic,"FATHAN COUNSELING, Link.Tegal Cabe No.99, RT.004/RW.002, Citangkil, Kec. Citangkil, Kota Cilegon, Banten 42441, Indonesia",tidak diketahui,+62 878-6279-7754,5,146.0,"106,0407766","-6,0207936",Banten
Praktek Psikolog Maria Ulfah M.Psi,Psychologist,"VPF4+62W Praktek Psikolog Maria Ulfah M.Psi, Jl. Raya Citra Garden 3, RT.3/RW.13, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",http://www.balitaceria.com/,+62 813-8264-5791,5,68.0,"106,705074","-6,126898",Banten
Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat,Psychologist,"Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat, Ruko Bumi Permata Indah, Blok RI 38B, Karang Mulya, Karang Tengah, Jakarta, Banten 15157, Indonesia",https://www.bicarakan.id/,+62 819-1000-9224,5,149.0,"106,7243363","-6,1931055",Banten
Psikologi Hubungan,Psychologist,"X578+2X9 Psikologi Hubungan, Gg. Swaztika, Banten, Kasemen, Serang City, Banten 42191, Indonesia",http://jeinspirate.blogspot.com/,+62 878-0818-2009,5,2.0,"106,167476","-6,0374713",Banten
Optimax Potential,Psychologist,"Optimax Potential, Jl. Kapten Piere Tendean, Masigit, Jombang, Cilegon, Banten, Indonesia",tidak diketahui,+62 859-4515-7373,"4,9",54.0,"106,0609407","-6,00895",Banten
